,Name,Type,Cuisine,PODN
328,Fiber,good,Irish,28.514749498997997
329,Manganese,good,Jewish,28.447459999999978
330,Sodium,bad,Caribbean,28.327519999999968
331,Fat,bad,Italian,28.326200000000007
332,Iron,good,Mediterranean,28.245120000000014
333,Potassium,good,Eastern European,28.207519999999995
334,Cholesterol,bad,Southern,28.17203999999997
335,Potassium,good,Thai,27.952900000000017
336,Sodium,bad,Middle Eastern,27.945920000000015
337,Copper,good,Indian,27.935679999999987
338,Phosphorus,good,African,27.904235294117644
339,Cholesterol,bad,British,27.90268000000001
340,Fat,bad,Mediterranean,27.883520000000008
341,Cholesterol,bad,Latin American,27.780880000000007
342,Fat,bad,European,27.547559999999983
343,Vitamin B12,good,Mediterranean,27.477582089552232
344,Vitamin B2,good,Jewish,27.37843999999997
345,Vitamin C,good,British,27.3015099009901
346,Vitamin B1,good,Chinese,27.263860000000005
347,Phosphorus,good,German,27.240099999999998
348,Potassium,good,Cajun,27.164220000000004
349,Fat,bad,American,26.95608000000002
350,Calcium,good,Mediterranean,26.886579999999995
351,Calcium,good,Southern,26.79713999999999
352,Vitamin B1,good,Cajun,26.736232464929863
353,Vitamin B2,good,Eastern European,26.675560000000004
354,Vitamin B2,good,Spanish,26.577979999999986
355,Fiber,good,Spanish,26.48775551102207
356,Vitamin B1,good,Vietnamese,26.436753507014043
357,Phosphorus,good,Caribbean,26.23344827586201
358,Calories,bad,Irish,26.043819999999993
359,Fat,bad,Chinese,26.035819999999973
360,Potassium,good,Spanish,26.022880000000004
361,Fat,bad,Indian,26.018419999999985
362,Copper,good,Cajun,25.84567134268538
363,Iron,good,French,25.80333999999998
364,Vitamin B12,good,Nordic,25.797109634551507
365,Vitamin C,good,Nordic,25.681076923076937
366,Vitamin B1,good,Irish,25.65952
367,Vitamin B2,good,Irish,25.632540000000006
368,Sodium,bad,British,25.56294000000001
369,Vitamin B1,good,Indian,25.49366
370,Copper,good,Spanish,25.39102
371,Calcium,good,European,25.34540000000001
372,Vitamin E,good,Spanish,25.33271084337348
373,Vitamin B1,good,German,25.31104208416835
374,Copper,good,Thai,25.285539999999997
375,Vitamin B1,good,French,25.268939999999997
376,Sodium,bad,Indian,25.263960000000004
377,Iron,good,Irish,25.18648000000002
378,Fat,bad,Caribbean,25.110219999999995
